config_name,description,total_length_nm,total_length_km,total_lines,safety_margin_factor,angle_correction_factor,max_angle_factor,min_direction_component,extension_base_factor,generation_success,error_message
baseline,基准配置（原始优化方案）,293.82300933205784,544.1602132829711,180,0.2,0.5,3.0,0.1,1.0,True,
safety_margin_0,安全边距系数: 0.00,287.22193706117895,531.9350274373035,180,0.0,0.5,3.0,0.1,1.0,True,
safety_margin_1,安全边距系数: 0.10,290.5224731966183,538.0476203601371,180,0.1,0.5,3.0,0.1,1.0,True,
safety_margin_2,安全边距系数: 0.15,292.1727412643381,541.1039168215541,180,0.15,0.5,3.0,0.1,1.0,True,
safety_margin_3,安全边距系数: 0.20,293.82300933205784,544.1602132829711,180,0.2,0.5,3.0,0.1,1.0,True,
