区域编号,测线数量,测线总长度_海里,区域面积_平方海里,测线密度_海里每平方海里,网格总单元数,未覆盖单元数,单次覆盖单元数,多次覆盖单元数,区域漏测率_%,多次覆盖率_%
0,63,69.0354,2.7760,24.8687,110187,95380,13123,1684,86.5619,1.5283
1,22,56.1616,3.0036,18.6979,110187,92770,15002,2415,84.1932,2.1917
2,32,73.0720,6.2467,11.6976,110187,78466,27311,4410,71.2117,4.0023
3,15,39.5475,3.8585,10.2494,110187,88904,17681,3602,80.6847,3.2690
4,11,29.5548,4.9539,5.9659,110187,89047,16488,4652,80.8144,4.2219
5,22,56.6170,6.0917,9.2941,110187,76857,29292,4038,69.7514,3.6647
6,17,45.5498,5.6983,7.9936,110187,86969,20017,3201,78.9285,2.9051
